t,v_bus_2,v_bus_7,v_bus_9,q_bus_2,q_bus_7,q_bus_9
2735,0.9827676272818665,0.9552107497268653,0.9506245155137777,-5.0,-5.0,-2.0
2736,0.9827668501576947,0.9552084566713024,0.950621831614979,-5.0,-5.0,-2.0
2737,0.982766073718439,0.9552061656358535,0.9506191500802834,-5.0,-5.0,-2.0
2738,0.9827652977344608,0.9552038759429258,0.9506164701166059,-5.0,-5.0,-2.0
2739,0.9827645201389098,0.9552015814938706,0.9506137845858024,-5.0,-5.0,-2.0
2740,0.9827637436875848,0.9551992904202151,0.950611103005393,-5.0,-5.0,-2.0
2741,0.9827665203329227,0.9552075027840898,0.9506207206652593,-5.0,-5.0,-2.0
2742,0.9827730343928573,0.9552267634312464,0.9506432755535992,-5.0,-5.0,-2.0
2743,0.9827722579860739,0.9552244724983097,0.9506405941415252,-5.0,-5.0,-2.0
2744,0.9827714818049091,0.9552221822302391,0.9506379135073095,-5.0,-5.0,-2.0
2745,0.9827707044715199,0.9552198885614474,0.9506352288924024,-5.0,-5.0,-2.0
2746,0.9827699282823112,0.9552175982679126,0.9506325482277193,-5.0,-5.0,-2.0
2747,0.9827691520890834,0.9552153079616553,0.9506298675478133,-5.0,-5.0,-2.0
2748,0.9827683745139681,0.9552130135770085,0.9506271820940406,-5.0,-5.0,-2.0
2749,0.9827675983126949,0.9552107232452819,0.9506245013836611,-5.0,-5.0,-2.0
2750,0.9827668221074021,0.9552084329008319,0.9506218206580582,-5.0,-5.0,-2.0
2751,0.9827660447498486,0.9552061391555463,0.9506191359516273,-5.0,-5.0,-2.0
2752,0.9827652685365111,0.9552038487856299,0.9506164551955536,-5.0,-5.0,-2.0
2753,0.9827644920895036,0.955201557725359,0.9506137736311259,-5.0,-5.0,-2.0
2754,0.98276371517917,0.9551992652970892,0.9506110904651959,-5.0,-5.0,-2.0
2755,0.9827629387241162,0.9551969742113469,0.9506084088702914,-5.0,-5.0,-2.0
2756,0.9827621622650398,0.9551946831128721,0.9506057272601528,-5.0,-5.0,-2.0
2757,0.9827613846536644,0.95519238861344,0.9506030416690402,-5.0,-5.0,-2.0
2758,0.982760608645851,0.9551900988447782,0.950600361614715,-5.0,-5.0,-2.0
2759,0.982750536491267,0.9551603302876707,0.9505655051704033,-5.0,-5.0,-2.0
2760,0.9827478760323948,0.9551524701922451,0.9505563025137346,-5.0,-5.0,-2.0
2761,0.9827507761933718,0.9551610469401729,0.9505663466516084,-5.0,-5.0,-2.0
2762,0.9827575020481467,0.9551809321886481,0.9505896325203654,-5.0,-5.0,-2.0
2763,0.9827567253312441,0.9551786403233504,0.9505869500103781,-5.0,-5.0,-2.0
2764,0.9827559486103167,0.9551763484453107,0.9505842674851454,-5.0,-5.0,-2.0
2765,0.982755172115029,0.9551740572322045,0.9505815857378507,-5.0,-5.0,-2.0
2766,0.9827543946970538,0.955171763295648,0.9505789008025655,-5.0,-5.0,-2.0
2767,0.9827536186530504,0.9551694734124224,0.9505762206111649,-5.0,-5.0,-2.0
2768,0.9827528421456918,0.955167182161104,0.95057353881815,-5.0,-5.0,-2.0
2769,0.982759232315782,0.9551860767188941,0.9505956650800975,-5.0,-5.0,-2.0
2770,0.9827621186412019,0.955194613355515,0.9506056624685293,-5.0,-5.0,-2.0
2771,0.982761342178318,0.9551923222447045,0.9506029808435977,-5.0,-5.0,-2.0
2772,0.9827605650224421,0.9551900290882153,0.9506002968239747,-5.0,-5.0,-2.0
2773,0.9827597883218522,0.9551877372742752,0.9505976143754032,-5.0,-5.0,-2.0
2774,0.9827619089861122,0.9551940114961643,0.9506049628178518,-5.0,-5.0,-2.0
2775,0.982761715706514,0.9551934445641229,0.9506043002194668,-5.0,-5.0,-2.0
2776,0.9827609392416933,0.9551911534470848,0.9506016185870727,-5.0,-5.0,-2.0
2777,0.9827601632321648,0.9551888636726148,0.9505989385257527,-5.0,-5.0,-2.0
2778,0.9827593856110098,0.9551865691418472,0.9505962528971031,-5.0,-5.0,-2.0
2779,0.9827586095934377,0.9551842793419142,0.950593572805317,-5.0,-5.0,-2.0
2780,0.9827578331125262,0.9551819881739395,0.9505908911119777,-5.0,-5.0,-2.0
2781,0.9827570554792828,0.9551796936049031,0.9505882054375396,-5.0,-5.0,-2.0
2782,0.9827562792199833,0.9551774030891109,0.9505855245068824,-5.0,-5.0,-2.0
2783,0.9827555029566636,0.9551751125605916,0.9505828435609979,-5.0,-5.0,-2.0
2784,0.9827547257706614,0.9551728193086384,0.9505801594271414,-5.0,-5.0,-2.0
2785,0.9827539492696294,0.9551705280769697,0.9505774776575926,-5.0,-5.0,-2.0
2786,0.9827531727645746,0.955168236832566,0.9505747958728065,-5.0,-5.0,-2.0
2787,0.9827523955664899,0.9551659435423627,0.9505721116931841,-5.0,-5.0,-2.0
2788,0.9827516192830557,0.955163652950169,0.9505694306711132,-5.0,-5.0,-2.0
2789,0.9827436811309112,0.9551401906753414,0.950541958101843,-5.0,-5.0,-2.0
2790,0.9827392385491311,0.9551270618676345,0.9505265857706583,-5.0,-5.0,-2.0
2791,0.9827384619674141,0.9551247703808279,0.9505239036958715,-5.0,-5.0,-2.0
2792,0.9827376858410563,0.9551224802368017,0.9505212231924125,-5.0,-5.0,-2.0
2793,0.9827369081028285,0.955120185335706,0.9505185371207002,-5.0,-5.0,-2.0
2794,0.9827361319684232,0.9551178951662042,0.9505158565867601,-5.0,-5.0,-2.0
2795,0.9827353553706076,0.9551156036284353,0.9505131744509966,-5.0,-5.0,-2.0
2796,0.9827345783093745,0.9551133107223764,0.950510490713383,-5.0,-5.0,-2.0
2797,0.9827338017035074,0.9551110191591192,0.9505078085471229,-5.0,-5.0,-2.0
2798,0.9827330248639169,0.955108726905339,0.9505051255723065,-5.0,-5.0,-2.0
2799,0.9827412461827115,0.9551330348337463,0.9505335908392188,-5.0,-5.0,-2.0
2800,0.9827422982854672,0.955136149263041,0.9505372389733836,-5.0,-5.0,-2.0
2801,0.9827415221794169,0.9551338591830196,0.9505345585464733,-5.0,-5.0,-2.0
2802,0.982740744691226,0.9551315650238074,0.9505318733447365,-5.0,-5.0,-2.0
2803,0.9827399681177539,0.9551292735628195,0.9505291913008085,-5.0,-5.0,-2.0
2804,0.9827391919996363,0.9551269834445976,0.9505265108281911,-5.0,-5.0,-2.0
2805,0.9827384144993562,0.9551246892471156,0.9505238255806651,-5.0,-5.0,-2.0
2806,0.9827376379138094,0.9551223977479031,0.9505211434910013,-5.0,-5.0,-2.0
2807,0.9827368610945454,0.9551201055581875,0.9505184605928048,-5.0,-5.0,-2.0
2808,0.9827360842712543,0.9551178133557247,0.9505157776793562,-5.0,-5.0,-2.0
2809,0.9827353074439364,0.9551155211405143,0.9505130947506554,-5.0,-5.0,-2.0
2810,0.9827345310719848,0.9551132302681055,0.9505104133933082,-5.0,-5.0,-2.0
2811,0.9827337537772205,0.9551109366718499,0.9505077288474951,-5.0,-5.0,-2.0
2812,0.9827329771675205,0.955108645096178,0.9505050466663476,-5.0,-5.0,-2.0
2813,0.9827322010131961,0.9551063548633373,0.9505023660565894,-5.0,-5.0,-2.0
2814,0.9827350072697385,0.9551146549221285,0.9505120864631489,-5.0,-5.0,-2.0
2815,0.9827342523644694,0.9551124275097632,0.9505094794163247,-5.0,-5.0,-2.0
2816,0.9827334758264095,0.9551101361459752,0.9505067974833892,-5.0,-5.0,-2.0
2817,0.9827326986181979,0.9551078428038765,0.9505041132346024,-5.0,-5.0,-2.0
2818,0.9827319220720866,0.9551055514146006,0.9505014312711703,-5.0,-5.0,-2.0
2819,0.9827404140917462,0.95513065755893,0.9505308306544269,-5.0,-5.0,-2.0
2820,0.9827415082722699,0.9551338959768746,0.9505346238622571,-5.0,-5.0,-2.0
2821,0.9827407320019288,0.9551316054109485,0.9505319428662762,-5.0,-5.0,-2.0
2822,0.9827399557275666,0.9551293148322935,0.950529261855065,-5.0,-5.0,-2.0
2823,0.9827391778643283,0.955127019564422,0.9505265753550207,-5.0,-5.0,-2.0
2824,0.9827384015819159,0.9551247289602828,0.9505238943133176,-5.0,-5.0,-2.0
2825,0.9827376252954825,0.9551224383434138,0.9505212132563835,-5.0,-5.0,-2.0
2826,0.9827368476498406,0.9551201437150129,0.9505185275038117,-5.0,-5.0,-2.0
2827,0.9827360713553575,0.9551178530726622,0.9505158464163886,-5.0,-5.0,-2.0
2828,0.9827352948271579,0.9551155617398106,0.9505131645204358,-5.0,-5.0,-2.0
2829,0.9827345176288155,0.9551132684286754,0.9505104803086636,-5.0,-5.0,-2.0
2830,0.9827337410925648,0.9551109770703368,0.9505077983822154,-5.0,-5.0,-2.0
2831,0.9827329645522903,0.9551086856992598,0.9505051164405258,-5.0,-5.0,-2.0
2832,0.9827321866527629,0.9551063903165085,0.950502429803028,-5.0,-5.0,-2.0
2833,0.9827314105638353,0.955104100275511,0.95049974941747,-5.0,-5.0,-2.0
2834,0.9827216313949259,0.9550751953727937,0.9504659035503161,-5.0,-5.0,-2.0
2835,0.9827190454470089,0.9550675550199991,0.9504569580472243,-5.0,-5.0,-2.0
2836,0.9827170860052489,0.9550617667338256,0.9504501812755002,-5.0,-5.0,-2.0
2837,0.9827138846924669,0.955052307217281,0.9504391055572917,-5.0,-5.0,-2.0
2838,0.9827131076122109,0.9550500142309752,0.9504364217165676,-5.0,-5.0,-2.0
2839,0.9827123307346822,0.9550477218420054,0.9504337385746668,-5.0,-5.0,-2.0
2840,0.982711554082857,0.9550454301181697,0.950431056210945,-5.0,-5.0,-2.0
2841,0.9827071039263393,0.9550322794974495,0.9504156584819733,-5.0,-5.0,-2.0
2842,0.9826988417721519,0.9550078605385336,0.9503870659237531,-5.0,-5.0,-2.0
2843,0.9826980650499626,0.9550055685922239,0.9503843832938726,-5.0,-5.0,-2.0
2844,0.9826885708174263,0.9549775025857579,0.9503515187311005,-5.0,-5.0,-2.0
2845,0.9826860482765611,0.9549700489493782,0.9503427916493657,-5.0,-5.0,-2.0
2846,0.9826852714875829,0.9549677567919231,0.9503401087668818,-5.0,-5.0,-2.0
2847,0.9826844937984601,0.9549654619774441,0.9503374227741206,-5.0,-5.0,-2.0
2848,0.9826837167716465,0.9549631691164475,0.9503347390675034,-5.0,-5.0,-2.0
2849,0.9826829399705775,0.9549608769207167,0.9503320561392221,-5.0,-5.0,-2.0
2850,0.9826821624991273,0.9549585827459469,0.9503293708942182,-5.0,-5.0,-2.0
2851,0.9826813856899984,0.9549562905246992,0.9503266879354056,-5.0,-5.0,-2.0
2852,0.9826806093363996,0.9549539996467725,0.950324006548568,-5.0,-5.0,-2.0
2853,0.9826798311635105,0.9549517033995835,0.950321318876877,-5.0,-5.0,-2.0
